gene,entrez,distance
IFI6,2537,3
IFI27,3429,3
IFITM1,8519,3
MX1,4599,3
RN7SK,125050,3
ARC,23237,3
DKK1,22943,3
MT1G,4495,3
SAMD9,54809,2
IFIT3,3437,2
IFIT2,3433,3
NKX3-1,4824,3
HSPA6,3310,2
IFIT1,3434,3
IFI44L,10964,3
RSAD2,91543,3
ISG15,9636,2
OAS2,4939,3
CXCL11,6373,2
IFI44,10561,2
CXCL10,3627,3
SLC34A2,10568,3
IFNλ,3458,3
IFN b1,3456,3
IFNL2,282616,4
CCR1,1230,2
CCR8,1237,3
IL16,3603,2
IL3,3562,3
CCR2,729230,3
CCR5,1234,3
IL5,3567,4
Megalin,4036,2
SLC22A12,116085,3
SLC34A1 ,6569,3
SLC34A3 ,142680,3
  SLC6A19 ,340024,4
 EAAT3,6505,3
PAT2,153201,3
SIT1,54716,3
 B^0AT1,340024,4
 ASCT2,6510,2
SNAT3,10991,3
 TAT1,117247,2
TMEM27 ,57393,4
 SLC7A9 ,11136,2
SLC3A1 ,6519,3
URAT1,116085,3
 OAT1,9356,3
OAT3,9376,3
 OAT4,55867,3
 GLUT9,56606,3
ABCG2,9429,3
 NPT1,6568,3
ATP2A2,488,2
ENO3,2027,2
ACTB,60,2
TPM2,7169,2
TPM4,7171,2
CALM3,808,2
TPM1,7168,2
CALM2,805,2
MYL9,10398,2
MYL6,4637,2
TNNC1,7134,3
CKM,1158,3
MYL7,58498,3
MYH11,4629,2
MYLK,4638,2
MYL4,4635,2
TNNI1,7135,2
TPM3,7170,2
MYH6,4624,2
TNNI3,7137,3
CAPZB,832,2
ACTC1,70,2
MYOM2,9172,3
TMOD1,7111,2
TTN,7273,3
MYH8,4626,3
MYO1G,64005,3
TRIM63,84676,2
TNNT3,7140,3
NEB,4703,3
MYL3,4634,3
OBSCN,84033,3
MYH2,4620,2
MYO7A,4647,3
MYO3A,53904,3
MYH7,4625,3
MYH15,22989,3
MYO3B,140469,2
MYO15A,51168,3
MYLK2,85366,2
MYO7B,4648,3
MYO1A,4640,2
MYH4,4622,3
MYH1,4619,2
MYH13,8735,3
MYO1F,4542,2
"IKKβ,",3551,2
IFNλ,3458,3
TNF‐α,7124,2
IL‐1β,3553,3
 IL‐2,3558,4
IL‐6 ,3569,3
IL‐8 ,3576,2
IL‐12,3593,3
IL‐13,3596,3
IL‐33,90865,3
IL‐4,3565,3
IL‐5,3567,4
IL‐10,3586,3
IL‐17,3605,3
IL‐22,50616,4
HK2*,3099,2
GPI,2821,2
PFKP,5214,2
ENO2*,2026,2
PKM*,5315,2
LDHA,3939,2
ALDOA,226,2
PGK1,5230,2
BPGM*,669,3
PGD,5226,2
PGLS,25796,2
RBKS,64080,3
DNAJC15*,29103,2
ATP1A1*,476,2
UQCRB,7381,2
IDH1*,3417,2
CDK1*,983,2
ZDHHC14,79683,3
IFITM1*,8519,3
IFITM3*,10410,2
ACAA1,30,2
HMGCS1*,3158,3
ACAT2,39,2
BCKDK,10295,2
MVD,4597,3
FDFT1,2222,2
SQLE*,6713,3
DGAT1,8694,3
MTTP,4547,3
NFKB1*,4790,2
JUN,3725,2
FOXO1*,2308,2
GCLC*,2729,2
HMOX2*,3163,2
IL6*,3569,3
SOD2,6648,2
ERN1,2081,2
EIF2AK2,5610,2
ATF4,468,2
CEBPB,1051,2
DNAJB9,4189,3
CD80,941,3
CD86 ,942,3
INFalpha ,3439,3
INF beta ,3456,3
INF g ,3458,3
TNFa,7124,2
IL-2,3558,4
 IL-10 ,3586,3
IL-7 ,3574,3
 IL-6 ,3569,3
 IL-1β ,3553,3
INF-ɑ,3439,3
IP-10 ,3627,3
CTLA-4 ,1493,3
PD-1 ,5133,2
Ki67 ,4288,2
 IL-5 ,3567,4
 IL-13 ,3596,3
IL-22,50616,4
CD64   ,2209,3
CD66b ,1088,4
CRP,1401,3
ferritin l,2512,2
ferritin h,2495,2
LDH a ,3939,2
IL6,3569,3
FAS ,355,3
ACE2 ,59272,3
ITGAM  cd1b,3684,3
CD14,929,3
FCGR3Acd16,2214,2
CD68,968,3
CD163,9332,3
MRC1 cd206,4360,3
PDCD1  PD1,5133,2
IL1B,3553,3
CXCL2 ,2920,3
CXCL8 ,3576,2
GDF11,10220,2
NOG,9241,3
IL10,3586,3
CXCL10,3627,3
TNFSF10,8743,3
NRG1,3084,3
TIMP1,7076,3
C5,727,3
IL18,3606,3
AREG,374,3
CCL4,6351,3
CMTM2,146225,3
IFNG,3458,3
CTSL,1514,2
CTSB,1508,2
DDIT4,54541,2
RRAS,6237,2
CTSD,1509,2
BIRC5,332,3
CTSZ,1522,2
NTRK1,4914,2
IGFBP3,3486,3
CCNB1,891,2
RRM2,6241,2
CCNB2,9133,2
GTSE1,51512,2
CDK1,983,2
STEAP3,55240,2
TP53I3,9540,3
TGFB2,7042,3
CCL3L1,6349,3
CXCL6,6372,3
CCL8,6355,3
SCGB3A1,92304,3
CCL2,6347,3
CXCL1,2919,3
IL33,90865,3
GRN,2896,2
CXCL16,58191,3
IL-8,3576,2
IL-6,3569,3
IL-1β,3553,3
TNF,7124,2
CCL3,6348,3
CCL4 ,6351,3
CCL7,6354,3
CXCL9 ,4283,3
CXCL10 ,3627,3
CXCL11,6373,2
UNC13A,23025,3
RAB27A,5873,2
RAB3A,5864,3
RIMS1,22999,2
RPH3A,22895,2
SNAP25,6616,3
SNCA,6622,2
STX1A,6804,2
STXBP1,6812,2
STXBP5,134957,3
Syp,6855,3
Tau,4137,2
Caspase 3,836,2
Cadherin-5,1003,2
Cadherin-2,1000,2
Cadherin-3,1001,2
Cadherin-4,1002,3
Catenin delta 1,1500,2
Cateninβ ,1499,2
α Catenin ,1495,2
Occludin,100506658,2
Claudin-5,7122,3
ZO-1,7082,2
ZO-2,9414,2
ZO-3,27134,3
