gene,entrez
ATP2A2,488
ENO3,2027
ACTB,60
TPM2,7169
TPM4,7171
CALM3,808
TPM1,7168
CALM2,805
MYL9,10398
MYL6,4637
TNNC1,7134
CKM,1158
MYL7,58498
MYH11,4629
MYLK,4638
MYL4,4635
TNNI1,7135
TPM3,7170
MYH6,4624
TNNI3,7137
CAPZB,832
ACTC1,70
MYOM2,9172
TMOD1,7111
TTN,7273
MYH8,4626
MYO1G,64005
TRIM63,84676
TNNT3,7140
NEB,4703
MYL3,4634
OBSCN,84033
MYH2,4620
MYO7A,4647
MYO3A,53904
MYH7,4625
MYH15,22989
MYO3B,140469
MYO1H,283446
MYO15A,51168
MYLK2,85366
MYO7B,4648
MYO1A,4640
MYH4,4622
MYH1,4619
MYH13,8735
MYO1F,4542