viral,Preys,HK2*_score,GPI_score,PFKP_score,ENO2*_score,PKM*_score,LDHA_score,ALDOA_score,PGK1_score,BPGM*_score,PGD_score,PGLS_score,RBKS_score,DNAJC15*_score,ATP1A1*_score,UQCRB_score,IDH1*_score,CDK1*_score,ZDHHC14_score,IFITM1*_score,IFITM3*_score,ACAA1_score,HMGCS1*_score,ACAT2_score,BCKDK_score,MVD_score,FDFT1_score,SQLE*_score,DGAT1_score,MTTP_score,NFKB1*_score,JUN_score,FOXO1*_score,GCLC*_score,HMOX2*_score,IL6*_score,SOD2_score,ERN1_score,EIF2AK2_score,ATF4_score,CEBPB_score,DNAJB9_score
e,6,0.00037169139147715256,0.0004591220646928208,0.0006007539252211233,0.0004938903539161322,0.0013028635855755347,0.000763176953807935,0.0006596299228542762,0.0006331434984989158,0.0002692226186646023,0.000554024996461203,0.0003222339261476972,0.0001355218344014629,0.00010112315733451507,0.0007287154100726515,0.0004685588853342638,0.00046455281323867195,0.0010453874703102077,7.256157431891069e-05,0.00011846813447768432,0.0003589982610753841,0.00033795602832456973,0.00015706522348311788,0.000397401198078308,0.00029482409638585395,0.00028130847564686583,0.0003111205068554237,0.00015633895342079206,0.00014138663805642567,0.00010769155432900559,0.0011323477348547902,0.003555111705039406,0.0005282411125168129,0.00015572934665809954,0.0004912931368965445,0.00016608597528554593,0.0005187661640535083,0.000309200842591581,0.000708310910813233,0.0005027783137607179,0.0005970000061903393,0.00024538181378663983
m,30,0.0024711161758487863,0.0034192966114578102,0.0029521320811109145,0.0028550246161761243,0.006045203336929593,0.00621482751009316,0.004183069600964664,0.0033821833913193784,0.0008778858945786168,0.005394416245994547,0.002606669730593604,0.0007863200512018026,0.0005315352485958935,0.007576283261606941,0.004536611633963354,0.002762850357617469,0.004762048574371878,0.000343450093061737,0.0005643025828312808,0.0031906389512851682,0.002027256928573546,0.000627695395663473,0.002223907430213136,0.0016915853499672923,0.0018406180029700804,0.0021368955091697318,0.0013190584034362583,0.0010999489866863068,0.0005532321208155281,0.004853430486567571,0.013035454965724579,0.0019661635961251674,0.0008775764288921177,0.00596266426309873,0.0007957299214882745,0.005460424336518826,0.0021621947326169455,0.0028851150229807655,0.002068632425157119,0.0020272026813111118,0.0015613039999757365
n,15,0.0016154256562113199,0.0020508746603772328,0.002578933759747457,0.002198579832356106,0.005219235601072893,0.003263925692139812,0.002754636748131243,0.002691302485859619,0.0007634720555663951,0.002579649994609204,0.001423042923165449,0.0005892466741047543,0.0004016516421912476,0.003015191722906293,0.0020246468879905853,0.0021694934593650375,0.004515722990113355,0.0002922522853350684,0.0004199921202044394,0.001443363048066526,0.0014325428803598507,0.0005126003462874114,0.0028227296496479543,0.0012027340095849555,0.001265906734061264,0.001279235718422778,0.0005617628349656382,0.0005334151893580454,0.00042695439888054107,0.004307838092614094,0.013496545601922432,0.0019383883881219678,0.0007513243817717154,0.0020624555251410035,0.0006967158639678408,0.002222448093909532,0.0013182088343254865,0.004862662776289774,0.002168890583686026,0.0021801047226570245,0.0009640246332660771
spike,2,5.808742083961599e-05,7.427546085294149e-05,8.535369685214281e-05,7.283011073892212e-05,0.00019499970504598268,0.00011085823308068114,0.00010699467061673032,8.571982686376197e-05,2.600618156224541e-05,8.01869134951792e-05,4.7448560255974206e-05,2.2128707701612843e-05,1.5896603150736223e-05,0.00013559559417062247,0.00010239930680577993,7.245993956963025e-05,0.00014479668927755524,1.4858780115144145e-05,1.601284127415272e-05,6.358257098897801e-05,0.0033888240051172668,1.854765719783429e-05,5.632800411773739e-05,4.026564778024118e-05,4.338023706478199e-05,5.6704312052899415e-05,4.2133756957875854e-05,7.57703682563147e-05,2.5551751816697845e-05,0.0001396509333687387,0.0003232107769094765,6.381183640248482e-05,2.71857184280369e-05,0.00011521166479820855,3.403336870272225e-05,8.579537974156027e-05,6.226554307705578e-05,8.439955330691434e-05,6.707020456498804e-05,6.58493412563846e-05,6.114629797820129e-05
nsp1,6,0.00037831128941581867,0.0003952287189247179,0.0005180711195226579,0.00041497565550288417,0.0010501843913223955,0.0006301014116704695,0.0005474954003891338,0.0005557488442710331,0.00013981973015756352,0.00046841864390032435,0.00027793651880850864,0.00011660302100574197,8.577966477009538e-05,0.0006195712045629345,0.00035508700183691167,0.0003940373798583671,0.0017970476081651152,6.324704876433907e-05,8.49231246274405e-05,0.00029087496222603013,0.00028391121213894977,0.00011116230858598929,0.0003177429341482764,0.00022617516844163142,0.00026508807467690053,0.0002666365014982292,0.00011850035651746555,0.00010581753899807948,8.493229997530013e-05,0.0007740254356124602,0.0024028156530503052,0.00044469417472673724,0.00013357465119172963,0.0004442906682365431,0.0001417804755427723,0.00043291451228671973,0.00027625026294436487,0.0005384944069868567,0.0004024126412726733,0.0004254069997496597,0.00023508851879865198
nsp10,5,0.0003837861518368456,0.0005062538005608481,0.0005892487167159551,0.0005322852480338459,0.0012331933443745034,0.000796203909229081,0.0006609349375694178,0.000622361758939655,0.00018095039089384597,0.0005966446123671929,0.00038597944629398484,0.0001440659139350104,0.00010457098721820219,0.0011583841245840964,0.0005470488935658135,0.0005245739788396298,0.000979038434166755,7.014280737078986e-05,8.845068394353674e-05,0.0004065433470699206,0.0003885532098553776,0.00011648025244204505,0.0004254845154783169,0.0002825179876253615,0.00032119143396609783,0.00032560470882064027,0.00017391496686142897,0.00013149025809299107,0.00010115513756787706,0.0009295445895654252,0.002678404266018011,0.00043688925666661275,0.00017292072008623708,0.0005669963617878457,0.00015889015027693672,0.0006173445620403975,0.00033835850997834924,0.0006233979596551503,0.00043417740470945605,0.0004210537837828132,0.0002576285764818951
nsp11,1,0.00010706715920984204,0.00024614846029848847,0.0001533133893758746,0.0001763917378966276,0.0002453979026720317,0.00021166947846651342,0.00018818406351847486,0.0001550261125440968,3.1989510579191165e-05,0.00019426320884041886,0.00021692648031736047,4.348197239207788e-05,1.7516780388712754e-05,0.00013124070440763077,0.00011846317285071137,0.00013075577501596482,0.00016062508324372402,1.0544117838542509e-05,1.4739289153676401e-05,6.144454607750382e-05,8.747667333259738e-05,2.0580538645551695e-05,0.00013311525370755478,4.889946131867384e-05,6.39567613288867e-05,4.815049719704956e-05,2.3839938631512538e-05,2.225837514486383e-05,1.5571010874371503e-05,0.00016472986069612414,0.00039000615211281305,7.53216044029214e-05,3.335502219062153e-05,9.775168163860712e-05,2.8409382964135398e-05,0.00025605670851225516,6.436829722535467e-05,0.0001043303688893392,7.357637924142715e-05,8.674180892402527e-05,6.871061972060831e-05
nsp12,20,0.001058551550733072,0.0013869201578777975,0.0015884749029792793,0.0015017464366582016,0.0038185412578018406,0.002747273764811761,0.0017507001028845986,0.0017132756433958455,0.0005097288909598342,0.0016764511372119948,0.0009714722900111461,0.00038827355830131145,0.000263832232574343,0.0019715174131449643,0.0012477285346763956,0.0016491706572496771,0.0032541203949026363,0.0002073151700572441,0.0002873516696151825,0.0009950251090665037,0.0012447996320180928,0.00038019207388958164,0.001146227823296865,0.1024309525747518,0.0008194035131692133,0.0008262684129990027,0.0003828775695300882,0.0003602835134978976,0.0002571030977217765,0.002810968831021256,0.0075472730120865195,0.0013854091725461603,0.000430761729060603,0.0013867191956466161,0.0004763388000233121,0.0015748853398075738,0.0016860731604119762,0.0018049664233043578,0.001315522617201701,0.0014083415310263264,0.0007163260186844849
nsp13,40,0.002606507627510963,0.003563395797391589,0.004020049747448524,0.0036297131365526894,0.009287691235502389,0.005035990756415079,0.004335549514337284,0.004243652811361126,0.001202440054253732,0.004872900882611849,0.002369931829738138,0.0011157021887099833,0.0006369517887382878,0.005303798087013262,0.002997922115733646,0.003149864633256044,0.007186672516444224,0.00048554483202937554,0.0006065983395387407,0.002544434133717937,0.0023873896559440883,0.0034267412982767515,0.0027539907869214304,0.002055799583660614,0.001965835350942317,0.002149226882061833,0.0010107808255259904,0.0008912488861128593,0.0006571527200316886,0.010214453214612748,0.016432294261947877,0.004301227446309079,0.0011460970527040594,0.003528257781020767,0.00151209641338365,0.004965086335962461,0.002292611581573885,0.00396195776783791,0.004023507441673362,0.0035505506345274475,0.0017077946017484385
nsp14,3,0.00016700383584210165,0.00028583781661113445,0.0002854988401978111,0.0002656822110334199,0.0005288971617397094,0.0011832930831744135,0.00030229833681659046,0.0002903001388138457,7.825351026238546e-05,0.002431859781532375,0.00017830642482616365,6.0364463972428586e-05,3.9518347788105196e-05,0.0003268417441884987,0.0001942109829088278,0.00027758764425185036,0.0004196175995771583,2.6916650507623893e-05,3.615336458617852e-05,0.00015556740676718307,0.00016310904143160894,5.583229865524709e-05,0.00020388370122945542,0.00015594289461224586,0.0006400012710275286,0.00013348773700855843,6.71003569633805e-05,5.526821996176022e-05,3.8683258724071866e-05,0.0006470449428423112,0.0012092491771073537,0.000204481093611199,9.656349434067944e-05,0.0002597793139975507,0.00020898254076990872,0.0002940839260850496,0.00013798820537643214,0.000260403976788205,0.000179678276150677,0.00019479864264216034,9.960917954205215e-05
nsp15,3,0.0002540856955686072,0.00037613586852093967,0.0013500750828404403,0.0006379805745583794,0.00086516457761809,0.0005878194864337254,0.0007525511661504437,0.00047063191700746194,0.000416888478416919,0.0011880000799918441,0.0002712887628792002,0.0001978997662609305,6.315759421406694e-05,0.0004879035043513695,0.00031265231116629115,0.00041371246622819434,0.0006499996472801591,4.7786550890441635e-05,5.876289196492604e-05,0.00026337203465917516,0.0002325369772400952,8.865494585465227e-05,0.0002958115174209365,0.0001877668028357722,0.00023184635597150232,0.00023053864517864095,0.0001039291157663277,8.708504435594905e-05,5.992691412102315e-05,0.0006267162756542649,0.0015250577215501476,0.0002697273793380946,0.0002608165493935857,0.0003690740041222506,0.00011733510356718918,0.0012035500151036946,0.0002049451345337855,0.0003762203087736794,0.0003046945909335812,0.00028677307994803695,0.00016582841542858338
nsp2,7,0.0004915090088106139,0.0005269180019998586,0.0006533714729315207,0.0005869540980804976,0.0013776904229435296,0.0008911894352007105,0.0007373480302239691,0.0007321638371591728,0.0002148734466106143,0.0006710501726098164,0.0004094200184014451,0.00018494597086194257,0.000112800178177479,0.0009658567799377554,0.0007052146941403597,0.0005380098453575571,0.0011450576026548014,7.59140853963029e-05,0.00010090713737365653,0.00047898178633423445,0.000408909747763818,0.00015546585133765172,0.00048031926655177365,0.00033464363109616445,0.0003747866846018998,0.0004275541073631105,0.00018606218576628394,0.00016960111442246864,0.00011558199596303596,0.001112666676308899,0.002544890204808457,0.0005383347566097639,0.00017865712883264467,0.0020237102872936443,0.0001862087860836398,0.0006112853876722038,0.0004248088576661323,0.0006821877882387225,0.0005107668106378195,0.0005044940945879158,0.000297789652260522
nsp4,8,0.00041380705403192615,0.0005920736758890895,0.0005913775415401203,0.0006263316084447082,0.0011764376220209814,0.0016363663085986902,0.0006471929746238574,0.0006416938309122251,0.00016139209840298943,0.0007503055483409706,0.0003803323158621789,0.00024594609883853044,0.00010916619290998291,0.0008411302474682633,0.003441705125751611,0.0007230091558742912,0.0014816793465623054,7.067721778268577e-05,9.517891274613567e-05,0.0004189041366014272,0.00035771313605101194,0.0001280739995886486,0.00041149711080303735,0.0003348219918973574,0.0004920073879471683,0.0003415565788586112,0.0007449463941810862,0.00019858929483024224,0.00010428711190778816,0.0009274335441068561,0.0024779350803790334,0.00040797678062802375,0.00018518092558465594,0.0007253789847872331,0.00016512674774080333,0.0006782270403501378,0.00033631135049911817,0.0006510835072918204,0.00042158889277002433,0.00043958868294669375,0.00029988972584109704
nsp5,1,0.00018039876483484996,0.00022022997594446384,0.00048350869430128417,0.00022929218911329303,0.0006797812545556277,0.00034655517296924837,0.0002932034560439247,0.0002885002293715403,9.763710136314952e-05,0.0002542266068842705,0.00014545084557085518,6.929088874191715e-05,4.323745151297513e-05,0.0004780020029576285,0.000197710220341801,0.00022074046081576419,0.0005526430680608439,3.165709056749496e-05,4.8646866207867994e-05,0.00016759152439073854,0.00016266253629646126,6.953916937741388e-05,0.0001924548398228003,0.00013429003270557907,0.0001359740760244638,0.00013777419911654266,6.304480502279912e-05,5.898648207523211e-05,4.6957027649332725e-05,0.0006642849980308752,0.001289574106632219,0.00032764789702928747,7.174319232873836e-05,0.00022656117903477267,0.00010274900452383243,0.00024041946294195123,0.0001418132618979152,0.00048804480331957035,0.00030199340082097767,0.000384185745230627,0.00010574562160273745
nsp5_c145a,2,0.00011114446168717346,0.000139397999331703,0.00019325293062558182,0.00021591536850381238,0.0003641551271342425,0.00035597004868443614,0.0002071684672317079,0.00017654000279476254,5.43151883555288e-05,0.000257533773960204,0.00012755631208533796,3.8424466187860034e-05,3.657760705262344e-05,0.00019116322049523887,0.00014559216978930956,0.00026150472195902714,0.0002580256692039668,1.6111100584689438e-05,2.3894512405926756e-05,0.00010019911077201966,0.00013031704496116236,3.2179349002912546e-05,0.00011789386355367208,7.444320985445214e-05,8.46141349223591e-05,7.78760305360001e-05,3.894725872608548e-05,3.354121672706374e-05,2.540765650362915e-05,0.00024858797754834797,0.0006240037487169462,0.00011051571042594729,4.806437810898461e-05,0.00018704740967455077,4.081811396314887e-05,0.000182197968005564,0.00019279182738373346,0.00019194630108879874,0.00010870058675454972,0.00011370107516899958,6.577814761553475e-05
nsp6,4,0.00021570710477084108,0.0002610400874200315,0.0002674576460118635,0.00024063005976223146,0.0005860988232077112,0.00036457485108072027,0.00033960495805287116,0.0003065442733135622,7.58914111530799e-05,0.00027191385895638186,0.00016016284033200747,6.901791857209308e-05,5.445796803521049e-05,0.001368811216826935,0.00048161475562033974,0.00026720615153566344,0.0004289288219504158,3.46861009562106e-05,5.374185808475313e-05,0.0010000323572484594,0.0002482553531787159,6.71392205178829e-05,0.00022112945979682976,0.0002501959708897846,0.00014673296909165185,0.0002521366744230923,0.00019674261012699327,0.00015748121120733057,5.44296504644948e-05,0.00044456954216209486,0.0010457226997261913,0.0001841153012711961,7.176018109238129e-05,0.0005155454800267591,8.760965017675123e-05,0.00033710285775866573,0.0002333703725552428,0.00026444860068199327,0.00019226129161143215,0.0001869153573427155,0.00015842681043264336
nsp7,32,0.0023180661731370777,0.004102753817889804,0.0033084710889905358,0.0038513090534276033,0.007644176090658473,0.006021573338496602,0.004005759258793416,0.0034068843705337575,0.0009727445990275859,0.0035637890561754653,0.002034203174780104,0.0009753083798877912,0.0012022897813390703,0.008183027406880632,0.004736833603686051,0.002955279736780779,0.005000851643719294,0.00041339048571182604,0.0005759264056961679,0.0028464731119678907,0.0026324383098303102,0.00073481691836488,0.0024045831139373475,0.0015879536396476413,0.001818013377391638,0.003354267467289358,0.0013114892310164094,0.0016363955951778641,0.0007803670598114842,0.005739093068777516,0.013844161754109045,0.0022046495425975354,0.0008699069443754452,0.00634373264756914,0.0009378087882209687,0.003448228780820104,0.002175928706286235,0.003220617446477802,0.002285108268179484,0.002279732632278227,0.0018999673175654594
nsp8,24,0.0015956072897295292,0.0020479989043409195,0.002511458363102353,0.002313248253394928,0.005503759175055279,0.0031200990479605217,0.0026589862877657144,0.002602597195080725,0.0007213514744095786,0.002293521952557271,0.0013524963716828031,0.0005810189673982389,0.000416040580927855,0.002980233478842799,0.0020565549760276753,0.001884767469980569,0.0045107531396817524,0.0002843374665991177,0.0003907301497120472,0.00151122851394584,0.0014972389298342854,0.0005384994856726274,0.0016086469679918427,0.001281322458148119,0.001181312396022815,0.0013285041353615675,0.0005443495394981966,0.0005474437788704999,0.00040377837009550945,0.0041977225473115755,0.01399380155581626,0.0019394032285871361,0.0006943938640184208,0.0021921857314491982,0.0006648382158704439,0.0022685425651556962,0.001427558973342065,0.0034257006987068826,0.001958270452666343,0.0020644701947685113,0.000996849734040545
nsp9,16,0.0009013771329665757,0.0010951992069725626,0.0013412680723994068,0.0012063788295893052,0.00296891112608571,0.0017712794021177056,0.0015426977250039533,0.0014007624150565582,0.0005098144364510493,0.0026896944267914944,0.0007550453039890497,0.0003272051152680464,0.0002179161448920682,0.00229581296850608,0.0010185567545403563,0.0013486842335356298,0.0022614374500273724,0.00015762806677023755,0.00020699272664732963,0.0007911430050209242,0.0007896141050122658,0.0002862147586438704,0.0009304968687080033,0.0006886472822689063,0.000862649168144508,0.0007034612563436029,0.0003345226548243573,0.00029728114000209915,0.00022108168345086177,0.0022267550247742126,0.005720276494728061,0.0010965432200867639,0.0007668649311632882,0.0011597956723732776,0.0006337869880714952,0.001192502360812194,0.000754143140252509,0.0014139753281870034,0.002529664978994116,0.0011918980862217592,0.000588282421686008
orf10,9,0.0008349122910590517,0.0010321491211567392,0.0011346857134962305,0.0018211787207339826,0.002488476767938486,0.0024944528964313943,0.0015173795443833118,0.0016641515874406521,0.0004554853069804888,0.001077121398030975,0.0006225107636826777,0.0002617348020909541,0.00018765433823336578,0.0023000265744881274,0.0009453635930093803,0.0009640478100228849,0.0020022220054676616,0.00012598152183942204,0.0001720276152446587,0.000788670904971388,0.0006735837490335042,0.00024354619529503142,0.0008028950608014886,0.0006402460598661874,0.0006101641700461565,0.0005829839597405591,0.00031452577606443506,0.0002596355793030246,0.00018645510046502034,0.002221005105901558,0.005242510225197328,0.0008770146321726809,0.00032305241726307267,0.0010542129970641338,0.00034368010034495214,0.0010840134065394776,0.0006751305186763042,0.0012480921013384647,0.0008957398900238012,0.0009523358331614122,0.0005717278682864486
orf3a,8,0.0003465216983200411,0.0004267273817501525,0.0005312933556866377,0.000494483130473692,0.0011577262604134167,0.0007240521683822307,0.0006394784953771753,0.0005876451489330916,0.00014983152760142726,0.0005697662009665726,0.00033157528412275855,0.00017538391990391973,9.070971327128328e-05,0.0008001353712789164,0.00043125177716884144,0.0004637932555442352,0.0008124727813351815,7.379105384443031e-05,9.225578905856141e-05,0.0004497238149180812,0.00035763066571005154,0.00012340096058912413,0.0003830398790209121,0.00025534450322026853,0.0003006521681836882,0.0004932228404599343,0.00024530420006039003,0.0002849490229557693,0.00010273589355069784,0.0008589516777997314,0.0019521660078125696,0.0003807474926825453,0.00015131279186390666,0.0008756861378930269,0.000167761765835423,0.0005216229270487286,0.0004257864277191025,0.0005258716132015669,0.0004243125508807371,0.0003963860687427863,0.000391411869335159
orf3b,1,0.00010005366182293929,0.00013458265317976102,0.0001257027761369874,0.00011565552600985484,0.00024508941168824175,0.00019672371296654197,0.00016784641912478615,0.00014068664418794623,3.361679920024015e-05,0.00013013656549922307,7.593666776845375e-05,2.9363660011186478e-05,2.825931145814317e-05,0.00024354959936578104,0.00021692165057191166,0.00011103830588255244,0.0002145038591021364,1.4146087183832607e-05,1.8994406264384155e-05,0.00013657864573125606,8.919035841679772e-05,3.1693953869101445e-05,0.00013662271723978182,6.15675091705119e-05,7.235929147327378e-05,0.00010157667563646834,3.4878423495586595e-05,3.1297288525167214e-05,2.144938782661281e-05,0.00020864099702151733,0.0007648922366180136,8.410888354791078e-05,3.890514161464589e-05,0.0001718884942339856,3.223225787437332e-05,0.00013319263704586118,7.501911238436942e-05,0.00014252892055422232,8.777752475717217e-05,8.940533161958825e-05,5.4242028512469655e-05
orf6,3,0.00026036537543986944,0.0003263466081361476,0.00032522155806044074,0.0003993438997526447,0.0007504848685181461,0.0004666095926605863,0.00042382573716784366,0.00039256625283767686,0.00010395971387159323,0.00038195286571673383,0.00020010477950799542,8.792916470787652e-05,5.714211947301434e-05,0.0015274780274317792,0.0003770514058780328,0.00037991292883976925,0.0006163423869625886,3.669527887413746e-05,5.1865300496911736e-05,0.0002633359902079664,0.00020827009247997996,6.94562081677217e-05,0.00024336881529719458,0.00016410196135500796,0.00017966138300753786,0.0002087416835696934,9.664080553730428e-05,8.175914102528169e-05,5.6971024144585806e-05,0.000552852005514876,0.001610448951935138,0.00027314889858597773,9.07851073813695e-05,0.0003585389260341564,9.231988026105331e-05,0.0003554046527637887,0.0001903915798210167,0.0003664450874251453,0.0002696976765672825,0.00028077417457341965,0.00015496620306276485
orf7a,2,0.00012616384502712655,0.00013704008700764304,0.00019648981809079557,0.0001421601676668705,0.00036406394945473193,0.00022947622195540934,0.0002004555762020367,0.0001779060434608326,5.021589888532881e-05,0.00016251472419201256,9.436872125753186e-05,3.9621960139891826e-05,2.8958455774628067e-05,0.00022209958910586827,0.00013408162237124323,0.00012725330653155846,0.00028926059582324605,2.0944529009137583e-05,2.703105592639237e-05,0.00013591913880390963,9.736883634969578e-05,3.298894746491704e-05,0.00013443491456459117,0.00014618752319575144,8.9544685407815e-05,0.00012691740360846484,5.244972458930822e-05,5.043796787136856e-05,3.0263699316075755e-05,0.00028760920762163644,0.0010697870056081455,0.00013649582297900877,4.9634688686853774e-05,0.00018925687507539505,4.828993954419599e-05,0.00014780448718063375,9.820520549061649e-05,0.0001882846084550885,0.00012752203794290108,0.00013274836397020805,0.00016641572298610262
orf8,47,0.0037212423313005847,0.002825883921429157,0.0030537225108821673,0.00473523989619442,0.006435965337121493,0.004413500920452326,0.005202218265640011,0.0033122520845190865,0.000999002591070528,0.0032818890981233697,0.0019908165572965018,0.0008227099623914282,0.0005411816942223425,0.004333928432592131,0.003417952419174602,0.0027191414788635183,0.00494257577142643,0.00039965351144150403,0.0006073291497845368,0.0027510649940485086,0.0019416763106212631,0.0007113973565411353,0.002094096126935994,0.001659453960615648,0.001787638012073183,0.0021775324407011087,0.0011447893866948684,0.0012098417135563606,0.0007724610526370605,0.005848604065587597,0.012145536658558269,0.002353006474977062,0.0008558410506529856,0.0038087582537061197,0.0014031720047481433,0.005205277349868752,0.00463634036026816,0.0030729227559791114,0.002375610574446647,0.0023520331793374974,0.0033475973274212523
orf9b,11,0.0008502661269322158,0.0008154885753612536,0.0010315279144220565,0.0008681309309677487,0.0029418136947655838,0.001524808859187684,0.0011037273815641556,0.0011008626304801466,0.0002994301939353152,0.0012063317683878565,0.0005567062741954407,0.0002451859757371108,0.0001781584388090793,0.0012558407567866674,0.0007816643567086677,0.0008983363399584992,0.0016393952427603547,0.00013149244025980253,0.00018502434903340398,0.001519487124826697,0.0005479723014576806,0.0002613234801136053,0.0007682744781756088,0.0004661293840925764,0.0007862906124900796,0.0004903491806778507,0.0002437711323034332,0.00021854718001074644,0.00017277783969305867,0.0015480053434508945,0.004546079775955513,0.0010381558378910352,0.009358942989778208,0.0009041425715388656,0.00036347457235831235,0.0009233584862335381,0.0005753050340955093,0.0010643859191457757,0.0007402533905799366,0.0007349639926418664,0.00043324409317678427
orf9c,26,0.0011728856787196979,0.0013682908995186545,0.0015498718538039609,0.0014192906770363824,0.0032670282329428884,0.0021484846617680527,0.001948552527220493,0.0015590102872365906,0.0005816808494840224,0.0015792166678003498,0.0009872988036447087,0.0004126894141424742,0.00033378718146326916,0.0029082057074699716,0.002651268664006588,0.001381489633441537,0.0025480303743262785,0.0002245884701753581,0.00043138386876230973,0.0021121342032183223,0.001200100407399733,0.0003549357932396474,0.001074502288694127,0.0009531592929692129,0.000858053483950788,0.0013832744870588365,0.001257274280892297,0.001586243555069931,0.00034220882980830913,0.002936817821502613,0.006185995370030794,0.0011128612540792489,0.0004341387199313821,0.003819607194212816,0.0005287015818437741,0.0017076766538382956,0.001273749085355623,0.0016246347732210293,0.001289060886240319,0.0011712192825780341,0.0015492808306570734
